age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
41.19940781232206,admin.,,secondary,no,2343.0,yes,no,unknown,5,may,1042,1.0,50.90867718446602,0.0,unknown,yes
41.19940781232206,admin.,married,secondary,no,45.0,no,no,,5,may,1467,1.0,-1.0,0.0,unknown,yes
41.0,technician,married,,no,1270.0,yes,no,unknown,5,may,1389,1.0,-1.0,0.0,unknown,yes
41.19940781232206,,married,secondary,no,2476.0,yes,no,unknown,5,may,579,1.0,-1.0,0.8330083837005264,unknown,yes
54.0,,married,tertiary,no,184.0,no,no,unknown,5,may,673,2.0,-1.0,0.0,,yes
42.0,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,562,2.0,-1.0,0.0,unknown,yes
41.19940781232206,,,tertiary,no,830.0,yes,yes,unknown,6,may,1201,1.0,-1.0,0.0,unknown,yes
60.0,,divorced,secondary,no,545.0,yes,no,unknown,6,may,1030,2.506902761104442,-1.0,0.0,unknown,yes
37.0,,,secondary,no,1547.4035487351637,yes,no,unknown,6,may,608,1.0,-1.0,0.0,unknown,yes
28.0,services,single,secondary,no,5090.0,yes,no,unknown,6,may,1297,3.0,-1.0,0.0,unknown,yes
38.0,admin.,,secondary,no,1547.4035487351637,yes,no,unknown,7,may,786,1.0,-1.0,0.0,unknown,yes
30.0,blue-collar,married,secondary,no,309.0,yes,no,unknown,7,may,1574,2.0,-1.0,0.0,,yes
29.0,management,married,tertiary,no,1547.4035487351637,yes,yes,,7,may,1689,4.0,-1.0,0.8330083837005264,unknown,yes
46.0,blue-collar,,tertiary,no,460.0,yes,no,unknown,7,may,1102,2.0,-1.0,0.0,unknown,yes
41.19940781232206,,,tertiary,no,1547.4035487351637,yes,no,unknown,8,may,943,2.506902761104442,-1.0,0.0,,yes
35.0,management,,tertiary,no,3837.0,yes,no,unknown,8,may,1084,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,single,primary,no,1547.4035487351637,yes,no,unknown,8,may,541,3.0,-1.0,0.0,unknown,yes
49.0,services,,secondary,no,-8.0,yes,no,unknown,8,may,1119,1.0,-1.0,0.0,unknown,yes
41.19940781232206,admin.,,secondary,no,55.0,yes,no,unknown,8,may,1120,2.0,-1.0,0.0,,yes
49.0,admin.,divorced,,no,1547.4035487351637,yes,yes,unknown,8,may,513,1.0,50.90867718446602,0.0,unknown,yes
28.0,admin.,divorced,secondary,no,785.0,yes,no,,8,may,442,2.0,-1.0,0.0,unknown,yes
43.0,,single,tertiary,no,2067.0,yes,no,unknown,8,may,756,1.0,-1.0,0.0,unknown,yes
43.0,,divorced,tertiary,no,1547.4035487351637,yes,no,unknown,8,may,2087,2.0,-1.0,0.0,unknown,yes
43.0,blue-collar,,primary,no,-192.0,yes,no,unknown,8,may,1120,2.0,-1.0,0.0,unknown,yes
37.0,unemployed,single,secondary,no,381.0,yes,no,unknown,8,may,985,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,single,secondary,no,40.0,yes,no,unknown,9,may,617,2.506902761104442,-1.0,0.0,unknown,yes
31.0,technician,single,,no,22.0,yes,no,unknown,9,may,483,3.0,-1.0,0.0,unknown,yes
43.0,blue-collar,single,secondary,no,3.0,yes,no,unknown,9,may,929,3.0,-1.0,0.0,unknown,yes
31.0,admin.,,secondary,no,1547.4035487351637,yes,no,unknown,9,may,538,1.0,-1.0,0.0,unknown,yes
28.0,,single,secondary,no,759.0,yes,no,,9,may,710,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,married,secondary,yes,-1.0,yes,no,unknown,9,may,653,1.0,-1.0,0.0,unknown,yes
41.19940781232206,technician,married,primary,no,65.0,yes,no,unknown,9,may,1028,2.0,-1.0,0.0,unknown,yes
26.0,,,secondary,no,82.0,yes,no,unknown,9,may,654,2.506902761104442,-1.0,0.0,unknown,yes
41.19940781232206,,married,secondary,no,10.0,yes,no,unknown,9,may,1692,2.0,-1.0,0.0,unknown,yes
33.0,blue-collar,,primary,no,390.0,yes,no,unknown,9,may,665,2.0,-1.0,0.0,,yes
41.19940781232206,management,single,tertiary,no,311.0,no,no,unknown,12,may,757,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,primary,no,1547.4035487351637,no,no,,13,may,504,4.0,50.90867718446602,0.0,unknown,yes
33.0,,,secondary,no,5.0,yes,no,unknown,13,may,1346,1.0,-1.0,0.0,unknown,yes
38.0,management,married,tertiary,no,1547.4035487351637,yes,no,unknown,13,may,568,4.0,-1.0,0.0,,yes
23.0,entrepreneur,,,no,4.0,yes,no,unknown,13,may,395,2.0,-1.0,0.0,unknown,yes
60.0,,married,primary,no,1262.0,yes,yes,unknown,13,may,1015,1.0,-1.0,0.0,unknown,yes
41.19940781232206,,married,,no,1949.0,yes,no,unknown,13,may,683,2.0,-1.0,0.0,unknown,yes
45.0,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,13,may,470,1.0,50.90867718446602,0.0,unknown,yes
36.0,,married,secondary,no,1165.0,yes,no,unknown,13,may,1001,4.0,-1.0,0.0,unknown,yes
52.0,management,married,,no,2240.0,yes,no,unknown,13,may,845,1.0,-1.0,0.0,,yes
35.0,blue-collar,divorced,primary,no,300.0,yes,no,unknown,13,may,945,2.0,-1.0,0.0,unknown,yes
43.0,technician,married,secondary,no,1547.4035487351637,yes,no,unknown,13,may,1721,2.0,50.90867718446602,0.0,unknown,yes
41.19940781232206,housemaid,,,no,3923.0,yes,no,unknown,14,may,942,2.506902761104442,-1.0,0.0,unknown,yes
53.0,,,primary,no,1443.0,yes,no,unknown,14,may,476,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,divorced,,no,24.0,yes,no,unknown,14,may,832,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,,primary,no,1618.0,yes,no,unknown,14,may,1553,1.0,-1.0,0.0,,yes
41.19940781232206,management,divorced,tertiary,no,517.0,yes,yes,unknown,14,may,1328,1.0,-1.0,0.0,unknown,yes
59.0,retired,married,secondary,no,1521.0,yes,yes,,14,may,1125,2.0,50.90867718446602,0.0,unknown,yes
41.0,blue-collar,married,secondary,no,2823.0,yes,no,unknown,14,may,858,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,married,secondary,no,1405.0,yes,no,unknown,14,may,629,2.506902761104442,50.90867718446602,0.0,unknown,yes
41.19940781232206,,,secondary,no,1547.4035487351637,yes,no,unknown,14,may,704,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14,may,760,1.0,50.90867718446602,0.0,unknown,yes
41.19940781232206,retired,married,primary,no,1542.0,yes,no,unknown,14,may,930,1.0,-1.0,0.0,unknown,yes
40.0,technician,single,unknown,no,1547.4035487351637,yes,no,unknown,14,may,1028,2.0,-1.0,0.0,unknown,yes
57.0,technician,married,tertiary,no,-1.0,no,no,unknown,14,may,850,2.0,-1.0,0.0,unknown,yes
41.19940781232206,blue-collar,married,,no,7180.0,yes,no,,14,may,927,1.0,-1.0,0.0,,yes
41.0,blue-collar,divorced,secondary,no,1547.4035487351637,yes,no,unknown,14,may,1423,3.0,-1.0,0.0,unknown,yes
41.19940781232206,blue-collar,,secondary,no,1384.0,yes,no,unknown,15,may,1162,4.0,-1.0,0.8330083837005264,unknown,yes
